"[0, 0]","[0, 0]",1549301952.4900692
"[0, 0]","[0, 0]",1549301952.4909701
"[0, 0]","[0, 0]",1549301952.4915226
"[0, 0]","[0, 0]",1549301952.49196
"[0, 0]","[0, 0]",1549301952.492468
"[0, 0]","[0, 0]",1549301952.4928944
"[0, 0]","[0, 0]",1549301952.4933038
"[0, 0]","[0, 0]",1549301952.493706
"[0, 0]","[0, 0]",1549301952.4941118
"[0, 0]","[0, 0]",1549301952.4945154
"[0, 0]","[0, 0]",1549301952.49492
"[0, 0]","[0, 0]",1549301952.4953272
"[0, 0]","[0, 0]",1549301952.4957345
"[0, 0]","[0, 0]",1549301952.4961498
"[0, 0]","[0, 0]",1549301952.4965692
"[0, 0]","[0, 0]",1549301952.4969814
"[0, 0]","[0, 0]",1549301952.497389
"[0, 0]","[0, 0]",1549301952.4977906
"[0, 0]","[0, 0]",1549301952.498198
"[0, 0]","[0, 0]",1549301952.4985995
"[0, 0]","[0, 0]",1549301952.4990015
"[0, 0]","[0, 0]",1549301952.499407
"[0, 0]","[0, 0]",1549301952.4998062
"[0, 0]","[0, 0]",1549301952.5002186
"[0, 0]","[0, 0]",1549301952.5006313
"[0, 0]","[0, 0]",1549301952.501097
"[0, 0]","[0, 0]",1549301952.501613
"[0, 0]","[0, 0]",1549301952.5021293
"[0, 0]","[0, 0]",1549301952.5027337
"[0, 0]","[0, 0]",1549301952.503204
"[0, 0]","[0, 0]",1549301952.5036352
"[0, 0]","[0, 0]",1549301952.5040696
"[0, 0]","[0, 0]",1549301952.5044956
"[0, 0]","[0, 0]",1549301952.5049186
"[0, 0]","[0, 0]",1549301952.5053523
"[0, 0]","[0, 0]",1549301952.5057757
"[0, 0]","[0, 0]",1549301952.506194
"[0, 0]","[0, 0]",1549301952.5066068
"[0, 0]","[0, 0]",1549301952.5070193
"[0, 0]","[0, 0]",1549301952.5074275
"[0, 0]","[0, 0]",1549301952.5078301
"[0, 0]","[0, 0]",1549301952.5082393
"[0, 0]","[0, 0]",1549301952.5086415
"[0, 0]","[0, 0]",1549301952.5090475
"[0, 0]","[0, 0]",1549301952.5094545
"[0, 0]","[0, 0]",1549301952.5098534
"[0, 0]","[0, 0]",1549301952.510265
"[0, 0]","[0, 0]",1549301952.5106678
"[0, 0]","[0, 0]",1549301952.511075
"[0, 0]","[0, 0]",1549301952.5114872
"[0, 0]","[0, 0]",1549301952.5118904
"[0, 0]","[0, 0]",1549301952.5123606
"[0, 0]","[0, 0]",1549301952.5127902
"[0, 0]","[0, 0]",1549301952.5132012
"[0, 0]","[0, 0]",1549301952.5136065
"[0, 0]","[0, 0]",1549301952.5140076
"[0, 0]","[0, 0]",1549301952.5144145
"[0, 0]","[0, 0]",1549301952.5148149
"[0, 0]","[0, 0]",1549301952.5152202
"[0, 0]","[0, 0]",1549301952.5156322
"[0, 0]","[0, 0]",1549301952.5160377
"[0, 0]","[0, 0]",1549301952.5164516
"[0, 0]","[0, 0]",1549301952.5168676
"[0, 0]","[0, 0]",1549301952.5172782
"[0, 0]","[0, 0]",1549301952.5176828
"[0, 0]","[0, 0]",1549301952.518087
"[0, 0]","[0, 0]",1549301952.5184867
"[0, 0]","[0, 0]",1549301952.518891
"[0, 0]","[0, 0]",1549301952.5192971
"[0, 0]","[0, 0]",1549301952.5196981
"[0, 0]","[0, 0]",1549301952.520106
"[0, 0]","[0, 0]",1549301952.5205076
"[0, 0]","[0, 0]",1549301952.5209126
"[0, 0]","[0, 0]",1549301952.5213237
"[0, 0]","[0, 0]",1549301952.5217328
"[0, 0]","[0, 0]",1549301952.5221426
"[0, 0]","[0, 0]",1549301952.522626
"[0, 0]","[0, 0]",1549301952.5230434
"[0, 0]","[0, 0]",1549301952.5234504
"[0, 0]","[0, 0]",1549301952.5238502
"[0, 0]","[0, 0]",1549301952.5242598
"[0, 0]","[0, 0]",1549301952.5246634
"[0, 0]","[0, 0]",1549301952.5250716
"[0, 0]","[0, 0]",1549301952.525485
"[0, 0]","[0, 0]",1549301952.525889
"[0, 0]","[0, 0]",1549301952.526299
"[0, 0]","[0, 0]",1549301952.5267131
"[0, 0]","[0, 0]",1549301952.5271218
"[0, 0]","[0, 0]",1549301952.5275283
"[0, 0]","[0, 0]",1549301952.527931
"[0, 0]","[0, 0]",1549301952.528335
"[0, 0]","[0, 0]",1549301952.5287354
"[0, 0]","[0, 0]",1549301952.5291386
"[0, 0]","[0, 0]",1549301952.5295446
"[0, 0]","[0, 0]",1549301952.5299466
"[0, 0]","[0, 0]",1549301952.5303493
"[0, 0]","[0, 0]",1549301952.530756
"[0, 0]","[0, 0]",1549301952.531161
"[0, 0]","[0, 0]",1549301952.5315714
"[0, 0]","[0, 0]",1549301952.5319757
"[0, 0]","[0, 0]",1549301952.532426
"[0, 0]","[0, 0]",1549301952.5328453
"[0, 0]","[0, 0]",1549301952.5332537
"[0, 0]","[0, 0]",1549301952.533657
"[0, 0]","[0, 0]",1549301952.5340636
"[0, 0]","[0, 0]",1549301952.5344665
"[0, 0]","[0, 0]",1549301952.5348666
"[0, 0]","[0, 0]",1549301952.535276
"[0, 0]","[0, 0]",1549301952.5356796
"[0, 0]","[0, 0]",1549301952.5361528
"[0, 0]","[0, 0]",1549301952.5365963
"[0, 0]","[0, 0]",1549301952.5370088
"[0, 0]","[0, 0]",1549301952.5374234
"[0, 0]","[0, 0]",1549301952.5378275
"[0, 0]","[0, 0]",1549301952.5382316
"[0, 0]","[0, 0]",1549301952.5386353
"[0, 0]","[0, 0]",1549301952.5390403
"[0, 0]","[0, 0]",1549301952.5394433
"[0, 0]","[0, 0]",1549301952.5398467
"[0, 0]","[0, 0]",1549301952.5402508
"[0, 0]","[0, 0]",1549301952.5406582
"[0, 0]","[0, 0]",1549301952.5410628
"[0, 0]","[0, 0]",1549301952.541477
"[0, 0]","[0, 0]",1549301952.541882
"[0, 0]","[0, 0]",1549301952.542333
"[0, 0]","[0, 0]",1549301952.5427697
"[0, 0]","[0, 0]",1549301952.5431888
"[0, 0]","[0, 0]",1549301952.543597
"[0, 0]","[0, 0]",1549301952.5440028
"[0, 0]","[0, 0]",1549301952.5444114
"[0, 0]","[0, 0]",1549301952.5448163
"[0, 0]","[0, 0]",1549301952.5452273
"[0, 0]","[0, 0]",1549301952.5456321
"[0, 0]","[0, 0]",1549301952.5460486
"[0, 0]","[0, 0]",1549301952.5464742
"[0, 0]","[0, 0]",1549301952.5468824
"[0, 0]","[0, 0]",1549301952.5472949
"[0, 0]","[0, 0]",1549301952.547698
"[0, 0]","[0, 0]",1549301952.5481026
"[0, 0]","[0, 0]",1549301952.548507
"[0, 0]","[0, 0]",1549301952.5489068
"[0, 0]","[0, 0]",1549301952.549311
"[0, 0]","[0, 0]",1549301952.5497148
"[0, 0]","[0, 0]",1549301952.5501173
"[0, 0]","[0, 0]",1549301952.550523
"[0, 0]","[0, 0]",1549301952.5509284
"[0, 0]","[0, 0]",1549301952.5513425
"[0, 0]","[0, 0]",1549301952.5517538
"[0, 0]","[0, 0]",1549301952.552163
"[0, 0]","[0, 0]",1549301952.5527306
"[0, 0]","[0, 0]",1549301952.5532615
"[0, 0]","[0, 0]",1549301952.5537667
"[0, 0]","[0, 0]",1549301952.5542126
"[0, 0]","[0, 0]",1549301952.5546432
"[0, 0]","[0, 0]",1549301952.555086
"[0, 0]","[0, 0]",1549301952.5555756
"[0, 0]","[0, 0]",1549301952.556326
"[0, 0]","[0, 0]",1549301952.5569105
"[0, 0]","[0, 0]",1549301952.5574706
"[0, 0]","[0, 0]",1549301952.5580008
"[0, 0]","[0, 0]",1549301952.5585237
"[0, 0]","[0, 0]",1549301952.5589964
"[0, 0]","[0, 0]",1549301952.559506
"[0, 0]","[0, 0]",1549301952.5599287
"[0, 0]","[0, 0]",1549301952.560336
"[0, 0]","[0, 0]",1549301952.5607393
"[0, 0]","[0, 0]",1549301952.5611503
"[0, 0]","[0, 0]",1549301952.561568
"[0, 0]","[0, 0]",1549301952.5619702
"[0, 0]","[0, 0]",1549301952.5624356
"[0, 0]","[0, 0]",1549301952.562869
"[0, 0]","[0, 0]",1549301952.5632768
"[0, 0]","[0, 0]",1549301952.563681
"[0, 0]","[0, 0]",1549301952.5640843
"[0, 0]","[0, 0]",1549301952.564485
"[0, 0]","[0, 0]",1549301952.5648859
"[0, 0]","[0, 0]",1549301952.5652964
"[0, 0]","[0, 0]",1549301952.5657077
"[0, 0]","[0, 0]",1549301952.5661263
"[0, 0]","[0, 0]",1549301952.566543
"[0, 0]","[0, 0]",1549301952.5669556
"[0, 0]","[0, 0]",1549301952.567365
"[0, 0]","[0, 0]",1549301952.5677667
"[0, 0]","[0, 0]",1549301952.568179
"[0, 0]","[0, 0]",1549301952.5685797
"[0, 0]","[0, 0]",1549301952.5689814
"[0, 0]","[0, 0]",1549301952.5693922
"[0, 0]","[0, 0]",1549301952.5697944
"[0, 0]","[0, 0]",1549301952.5702012
